county_desc,candidate_name,candidate_party_lbl,cnt,sum(group_vote_ct_adj)
ANSON,Dan McCready,DEM,55,4586
ANSON,Jeff Scott,LIB,55,114
ANSON,Mark Harris,REP,55,3266
ANSON,OVER VOTE,NA,55,11
ANSON,UNDER VOTE,NA,55,53
CUMBERLAND,Dan McCready,DEM,170,13452
CUMBERLAND,Jeff Scott,LIB,170,400
CUMBERLAND,Mark Harris,REP,170,12314
CUMBERLAND,OVER VOTE,NA,170,23
CUMBERLAND,UNDER VOTE,NA,170,199
MECKLENBURG,Dan McCready,DEM,295,51857
MECKLENBURG,Jeff Scott,LIB,295,1626
MECKLENBURG,Mark Harris,REP,295,42669
MECKLENBURG,OVER VOTE,NA,295,10
MECKLENBURG,UNDER VOTE,NA,295,442
RICHMOND,Dan McCready,DEM,76,7138
RICHMOND,Jeff Scott,LIB,76,298
RICHMOND,Mark Harris,REP,76,6786
RICHMOND,OVER VOTE,NA,76,6
RICHMOND,UNDER VOTE,NA,76,189
ROBESON,Dan McCready,DEM,156,17420
ROBESON,Jeff Scott,LIB,156,777
ROBESON,Mark Harris,REP,156,12691
ROBESON,OVER VOTE,NA,156,34
ROBESON,UNDER VOTE,NA,156,774
UNION,Dan McCready,DEM,280,34126
UNION,Jeff Scott,LIB,280,1589
UNION,Mark Harris,REP,280,51645
UNION,OVER VOTE,NA,280,21
UNION,UNDER VOTE,NA,280,346
